代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,1e+07
最後資金,9732406.241000000387430
真實報酬,-267593.758999999612570

預期報酬,-3673.772246162446208
風險,118158.925234384441865
Gbest,-0.03109178793624785275
找到最佳解世代,3812
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1402(6),2308(13),3008(42),
Stock#,1402(6),2308(13),3008(42),
張數,128,20,0,
分配資金,3333333,3333333,3333333,
剩餘資金,5717.89600000018253922462,30833.63499999977648258209,3333333.00000000000000000000,
FS(1),3328597.896000000182539,3328633.634999999776483,3333333.000000000000000,9990565.530999999493361,
FS(2),3313894.152000000234693,3352669.180000000167638,3333333.000000000000000,9999897.332000000402331,
FS(3),3325363.175999999977648,3410611.644999999552965,3333333.000000000000000,10069308.820999998599291,
FS(4),3350849.896000000182539,3391297.489999999757856,3333333.000000000000000,10075481.385999999940395,
FS(5),3283310.087999999988824,3410611.644999999552965,3333333.000000000000000,10027255.732999999076128,
FS(6),3338106.536000000312924,3410611.644999999552965,3333333.000000000000000,10082052.180999999865890,
FS(7),3400549.000000000000000,3410611.644999999552965,3333333.000000000000000,10144494.644999999552965,
FS(8),3405646.344000000040978,3410611.644999999552965,3333333.000000000000000,10149591.989000000059605,
FS(9),3387805.640000000130385,3420368.279999999795109,3333333.000000000000000,10141507.919999999925494,
FS(10),3437504.744000000413507,3420368.279999999795109,3333333.000000000000000,10191207.024000000208616,
FS(11),3424761.384000000078231,3410611.644999999552965,3333333.000000000000000,10168707.028999999165535,
FS(12),3418389.704000000376254,3381739.969999999273568,3333333.000000000000000,10133463.673999998718500,
FS(13),3412018.024000000208616,3420368.279999999795109,3333333.000000000000000,10165720.303999999538064,
FS(14),3368690.600000000093132,3391297.489999999757856,3333333.000000000000000,10093322.089999999850988,
FS(15),3394177.320000000298023,3333355.025000000372529,3333333.000000000000000,10060866.345000000670552,
FS(16),3448973.768000000156462,3352669.180000000167638,3333333.000000000000000,10134976.948000000789762,
FS(17),3424761.384000000078231,3343111.659999999683350,3333333.000000000000000,10101207.043999999761581,
FS(18),3400549.000000000000000,3333355.025000000372529,3333333.000000000000000,10067238.025000000372529,
FS(19),3301150.792000000365078,3285169.194999999832362,3333333.000000000000000,9919653.986999999731779,
